name,age,gender,race,country,sexual orientation,net worth
Adam Devine,37,male,white,United States,straight,8000000
Adam Sandler,54,male,white,United States,straight,420000000
Adel Karam,48,male,white,Lebanon,straight,Unknown
Al Madrigal,49,male,latinx,United States,straight,1000000
Ali Wong,38,female,asian,United States,straight,3000000
Amanda Seales,39,female,black or african american,United States,straight,3000000
Amy Schumer,39,female,white,United States,straight,25000000
Andy Woodhull,Unknown,male,white,United States,straight,Unknown
Anjelah Johnson,38,female,latinx AND american indian,United States,straight,500000
Anthony Jeselnik,42,male,white,United States,straight,3000000
Ari Shaffir,47,male,white,United States,straight,600000
Arsenio Hall,65,male,black or african american,United States,straight,16000000
Aziz Ansari,37,male,asian,United States,straight,20000000
Bert Kreischer,48,male,white,United States,straight,3000000
Big Jay Oakerson,43,male,white,United States,straight,Unknown
Bill Burr,52,male,white,United States,straight,12000000
Bill Hicks,NA,male,white,United States,straight,NA
Bill Maher,65,male,white,United States,straight,140000000
Billy Connolly,78,male,white,Scotland,straight,20000000
Bo Burnham,30,male,white,United States,straight,4000000
Brad Williams,37,male,white,United States,straight,500000
Brent Morin,34,male,white,United States,straight,2000000
Brian Regan,62,male,white,United States,straight,7000000
Bridget Everett,48,female,white,United States,straight,Unknown
Cedric the Entertainer,56,male,black or african american,United States,straight,25000000
Chelsea Peretti,42,female,white,United States,straight,3000000
Chris D'Elia,40,male,white,United States,straight,13000000
Chris Gethard,40,male,white,United States,straight,1500000
Chris Rock,56,male,black or african american,United States,straight,100000000
Chris Tucker,49,male,black or african american,United States,straight,5000000
Christina Pazsitzky,44,female,white,Canada,straight,2000000
Colin Quinn,61,male,white,United States,straight,4000000
Craig Ferguson,58,male,white,Scotland,straight,30000000
Cristela Alonzo,42,female,latinx,United States,straight,4000000
D.L. Hughley,57,male,black or african american,United States,straight,10000000
Dan Soder,37,male,white,United States,straight,1000000
Dana Carvey,65,male,white,United States,straight,20000000
Daniel Sloss,30,male,white,England,straight,2000000
Daniel Tosh,45,male,white,Germany,straight,20000000
Dave Allen,NA,male,white,Ireland,straight,NA
Dave Attell,56,male,white,United States,straight,6000000
Dave Chappelle,47,male,black or african american,United States,straight,50000000
David Cross,56,male,white,United States,straight,12000000
