name,b_month,b_day,b_year,blue_meter,fave_num,funnier,wins,losses,bio
Adam Devine,November,7,1983,Tame,2,45.1,176,214,"Adam DeVine was born in Waterloo Iowa, and moved to Omaha Nebraska when he was ten. After years of snow and 311 concerts he then moved to Los Angeles and began doing stand-up comedy. Only after performing for two years he was asked to perform at the Montreal Comedy Festival. After the festival Adam was cast in the Warner Brothers movie Mamas Boy Starring Jon Header. He is currently a member of the sketch comedy group The National Lampoon Lemmings who are currently touring the United States. He is also a member of the sketch comedy group Mail Order Comedy who’s hilarious videos have been downloaded over a million times. You can see all their videos at www.mailordercomedy.comAdam plays the character Bumper in the comedy movie Pitch Perfect.Adam can currently be seen as part of Comedy Central’s hit show Workaholics, which is currently in its 3rd season."
Adam Sandler,September,9,1966,Risqué,27,63.2,2618,1523,"One of the most peculiar apparitions on “Saturday Night Live” was Adam Sandler, a tall geek with short-cropped hair and the woefully sulky face of a perpetually bullied loser.He seemed to enjoy playing “pity me” parts, adopting a babyish, almost retarded voice that seemed stuck so deeply in his gullet it couldn’t be removed with a spoon—and that his classmates had tried.The flip side to Sandler’s character was that, like many a school spaz, when given the chance to shine, he did little more than annoy. Grabbing a guitar, Sandler would offer up inane ditties with what passed for an ingratiating, little-boy smile. The stupider the song, the more the laughs.And so it was that the Jerry Lewis of the 90’s was born…and to the shock of many, Sandler left “Saturday Night Live” to become one of the comic heroes of Generation X. They couldn’t get enough of his class moron character…the brainless insults he hurled, the dorky things he did, the assinine songs he sang.Ironically, the very parents who were chided for enjoying the reckless and destructive antics of Jerry Lewis, were now wondering what in the world their precious Max, Courtney, Brittany and taylor were doing chortling over Adam Sandler. Sandler, a young kid who seemed to have become an overnight success.Actually, he pretty much was. Born in Brooklyn, raised in New Hampshire, Adam tried out at a Boston comedy club when he was just 17. A class clown type, he transferred his act easily to the stage, getting laughs by goofing around. He received his B.F.A. at New York University and journeyed back to Brooklyn where “The Cosby Show” was being taped. There he had the recurring role of young Theo Huxtable’s friend Smitty.Dennis Miller saw him performing stand-up in Los Angeles and reccomended him to Lorne Michaels. Sandler joined “Saturday Night Live” in 1990 as a writer, then as a performer. As with most everyone on the show, Sandler’s job was to create a few characters and then repeat them in bludgeoning fashion until viewers surrendered with laughter.He created “Canteen Boy,” the ultimate in lives-to-be-punched patheticness, and the monsterously grating “Opera Man,” who could only sing his observations ? the very essence of a 6 year-old’s idea of funny. And, like a 6 year-old, Sandler kept doing it over, and over, and over. Many critics singled him out for abuse, but his young fans were supporting him, pushing his 1993 debut comedy album into the Top 100. His next audio assault came with the cutesy “Hanukkah Song,” filled with deliberately bad rhymes and chiding wit: “David Lee Roth lights the menorah, so do James Caan, Kirk Douglas and the late Dinah Shor-ah.”If the idea of the dead Miss Shore lighting a menorah wasn’t hilarious to visualize, Sandler quickly moved on to films where he could spend 90 minutes sticking his own mug on display. Sandler’s debut starring film, “Billy Madison,” led him to leave “Saturday Night Live” in 1995 and concentrate on more movies. He scored another hit with “Happy Gilmore” and his next starring film, “The Wedding Singer,” grossed $39 million on its first weekend in release. He duplicated that feat with “Big Daddy.”"
Al Madrigal,July,4,1971,Tame,3,58.3,540,386,"Named Best Stand-Up Comedian by the HBO/U.S. Comedy Arts Festival in Aspen, Al Madrigal’s comedy has been called “dynamic” by The New York Times. His unique, spontaneous and fast-paced lyrical storytelling style has made him a regular on television with numerous appearances on Comedy Central including his own half-hour Comedy Central Presents Special and appearances on John Oliver’s New York Stand-up Show and Pretend Time with Nick Swardson. Al has also appeared with Conan O’Brien (as one of the first 20 guests during his stint as host of “The Tonight Show,” and on “Conan” on TBS) as well as multiple appearances on “Lopez Tonight,” “The Late Late Show with Craig Ferguson” and “Jimmy Kimmel Live.”Al also has his share of acting credits. He has appeared on CBS’s “Welcome to the Captain” with Jeffrey Tambor and “Gary, Unmarried” with Jay Mohr. Cheech Marin (Cheech and Chong) played his father on a sitcom, “The Ortegas,” that was set to debut on Fox in 2003 in the time slot after “The Simpsons” before it was shelved at the last minute. Most recently, Al has been cast in the upcoming sitcom “Free Agents” on NBC."
Ali Wong,April,19,1982,Tame,2,53,223,198,"Ali Wong is a stand-up comedian living in Los Angeles, CA. After SF Weekly selected her as “The Best Comedian of 2009"" and the SF Bay Guardian awarded her “Best of the Bay,” she decided that it was finally time to depart her hometown. In 2010, Comedy Central listed Ali Wong as one of 7 “Comic’s to Watch.” In 2011, Variety Magazine named her as one of the “10 Comics to Watch” , and Ali appeared in the 2011 and 2012 Just for Laughs Comedy Festival in Montreal, QC. Since then, Ali has performed on “The Tonight Show with Jay Leno”, the new season of “John Oliver’s New York Stand-Up Show”,  Dave Attell’s “Comedy Underground”, “Late Night with Seth Meyers”, appeared in Oliver Stone’s “Savages”, hosted the Golden Globes live coverage on E! and starred as “Link Lark” in the ABC drama “Black Box” with Vanessa Redgrave and Kelly Reilly.  You can catch her on Chris Hardwick’s late-night game show @Midnight, the new season of Comedy Central’s “Inside Amy.” She is also a writer on ABC’s new comedy “Fresh Off the Boat.”"
Amanda Seales,July,1,1981,Tame,0,29.7,54,128,"Comedian, actress, writer, producer, and more, Amanda Seales doesn’t just make you laugh, she makes change!With an uncanny knack for taking serious topics (racism, rape culture, sexism, police brutality, etc.) and with humor, making them relatable and interesting, she combines intellectual wit, irreverent silliness and a pop culture obsession to create her unique style of smart funny content for the stage and screens.Along with performing stand up across the globe, and touring colleges doing comedic lectures on everything from sexism and diversity, relationships to black popular culture, this former MTV VJ with a master’s in African American studies from Columbia University is a series regular as Tiffany on HBO’s “Insecure”, named by Time Out LA as one of 2017’s comedians to watch, is creator/host of LA’s hit comedy game show, “Smart Funny & Black,” at Nerdmelt, speaks truth to change via her wildly popular instagram and monthly column “Amandaland” at InStyle Mag, has written/produced/starred in two seasons of her scripted comedy, Get Your Life, available on www.Blavity.com and went viral after articulately and passionately confronting Caitlin Jenner on issues of race and equality in America, during a live streamed dinner, hosted by Katy Perry, on Youtube.A Jedi Khaleesi with a patronus that’s a Black Panther with wings, Amanda Seales continues to keep audiences laughing, thinking, and living in their truth!"
Amy Schumer,June,1,1981,Risqué,19,63,1135,667,"Amy Schumer is one of the fastest rising comics on the scene. The former Last Comic Standing finalist has just released Cutting, on Comedy Central Records. It follows her spring 2010 Comedy Central Presents stand up special. She also just filmed a movie with Steve Carell called Seeking a Friend for the End of the World.On the small screen, she has nabbed a recurring role in the upcoming season of Adult Swim’s mocumentary series “Delocated” as well as a spot on HBO’s “Curb Your Enthusiasm.” She is also playing opposite Parker Posey in indie flick Price Check. Amy has also performed on “Late Night with Jimmy Fallon” and “John Oliver’s New York Stand-Up Show.” She has also appeared on “The Ellen DeGeneres show,” where Ellen was quoted as saying “Amy is one of my favorites, I expect to see big things from this girl.”Amy was selected for the 2007 Montreal Just For Laughs Festival in the “New Faces” category. She has also appeared on Comedy Central’s “Live At Gotham” and co-starred in the series, “Reality Bites Back.” She served as host of the game show “BFF” on MySpace video and can be found weekly in any number of comedy clubs in New York City or headlining clubs or colleges around the country.She is a graduate of the William Esper studio."
Andy Woodhull,?,NA,NA,Tame,0,32.4,138,288,"Andy was the first comedian to make his network television debut on the Tonight Show: Starring Jimmy Fallon.  He has also recently appeared on Conan, Comics Unleashed with Byron Allen, and Gotham Comedy Live on AXS. In 2009 he appeared on Comedy Central’s Live at Gotham. Andy has appeared at many comedy festivals and contests including Just For Laughs Comedy Festival in Montreal, and The Great American Comedy Festival.  He has been featured on the nationally syndicated Bob and Tom radio show, and was a semi-finalist in CMT’s “Next Big Comic”.  He has won the Best of the Midwest Competition at Gilda’s Laugh and his album “Lucy” was named top 10 comedy albums of the year by “comedy reviews”  Andy was named one of four comedians to watch by the Chicago Tribune.  “Woodhull’s basic likability, plus his relatively clean and, at times, heartfelt material are refreshing” –thespittake.com"
Anjelah Johnson,May,14,1982,Tame,2,36.2,166,292,"Anjelah Johnson was born and raised in San Jose, California and is of Mexican and Native American descent. She is one of five children and has a large extended family that she remains close to.  In the beginning of her career Johnson was a professional cheerleader for the Oakland Raiders. As an Oakland Raiderette, she was named Rookie of the Year and even performed in Super Bowl XXXVII. After that year she decided to move to Los Angeles to pursue her dream of acting.She became an internet sensation with her viral video “Nail Salon” which led to many stand up and performance opportunities. That same year she joined the cast of “MADtv” as a series regular, which spawned another internet sensation “Bon Qui Qui.” This original character, a disgruntled fast food employee with no filter, has been enjoyed, viewed and replicated by over fifty-five million people worldwide.Recently, Anjelah recorded and released a full length rap song and music video as Bon Qui Qui with more tracks in the works. The song and the video are currently available on iTunes.Anjelah has appeared in multiple ads & commercials including campaigns for Sprint, Visa, Snickers, Verizon, All-State, K-Swiss, Dryers Ice Cream and she is currently the spokesperson for a Texas based restaurant chain, Taco Cabana.  As well, Anjelah has guest starred on shows such as The Shield, Ugly Betty, Curb Your Enthusiasm, and others all while traveling with her stand up comedy.In June 2009 Anjelah recorded a one-hour special for Comedy Central and Warner Brothers Records. A second special is set to be released from her hometown of San Jose, CA this year.In 2010, Johnson starred in OUR FAMILY WEDDING alongside Carlos Mencia, Regina King, and Oscar winner Forest Whitaker. She played the feisty sister of America Ferrera in this hilarious comedy which shows the perils and joys of combining families.Johnson can also be seen as a live action character in the film ALVIN AND THE CHIPMUNKS: THE SQUEAKQUEL alongside Jason Lee and the voices of Justin Long, Anna Faris and Amy Poehler. Anjelah then leant her voice for the animated film MARMADUKE along with Emma Stone, Owen Wilson and Jeremy Piven."
Anthony Jeselnik,December,22,1978,Risqué,25,59.5,1394,950,"Growing up in Pittsburgh, Anthony Jeselnik didn’t think about being a stand-up. He never saw it as a career possibility. Jeselnik’s aspirations turned to writing, particularly novels.Jeselnik attended college at Tulane University in New Orleans, earning a BA in English Literature. During his senior year, he worked as a doorman at a strip club to earn money. Among the other jobs he worked before become comedian are teacher’s assistant, bookstore clerk and a chef.After college he moved to Los Angeles to break into the business as a screenwriter. After a year, he found himself frustrated. He met up with the one contact he had in Los Angeles, a college classmate of his father’s named Jimmy Brogan. Jimmy had been head writer for Jay Leno‘s Tonight Show for several years. Brogan encouraged Jeselnik to try stand-up if he wanted to break in as a writer.Even after that conversation, it still took Jeselnik a year for him to work up the nerve to attempt stand-up. A big influence on Jeselnik’s joke writing was the dark one-liners of Jack Handy. Jeselnik also found himself influenced by the concept of “The Second Smile”, voiced by original SNL Head Writer Michael O’Donoghue. A joke which both makes an audience laugh and (metaphorically) cuts their throats because of its dark edge. The first smile comes from the joke itself and the second is the throat-slitting wound. Other influences include Steven Wright and Andrew “Dice” Clay.Jeselnik’s deadpan act is structured around an alternative persona that’s ultra-confident and arrogant, a contrast to many stand-ups who are more self-deprecating. Jeselnik tries not to break the character on stage, so quite a few are surprised that he has very little in common with the character they just saw telling mean jokes.Anthony Jeselnik was the first stand-up to appear on Late night with Jimmy Fallon, where he also served as a staff writer for its inaugural first season. Jeselnik has been a regular on other late night talk shows including Jimmy Kimmel Live, Late Night with Conan O’Brien and Last Call with Carson Daly.Though Jeselnik has gotten writing jobs since, stand-up has become a goal in itself, particularly because of the opportunities it gives you for creative control.2008 saw Jeselnik named as one of Variety’s “10 Comics to Watch”, an honor that was bestowed upon him at that year’s Montreal Just For Laughs Festival.In 2009, Comedy Central featured him in a program that counted down their first “Hot List” of comedians.In September of 2011 he released his first stand-up album on Comedy Central Records entitled “Shakespeare.” It was recorded at New York City’s Upright Citizens Brigade Theater."
Ari Shaffir,?,NA,1974,Dirty,6,49.4,250,256,"Amongst other works, Ari Shaffir is probably most well-known for a series of comedy works entitled “The Amazing Racist,” the title is a play on that of the reality television show The Amazing Race. In these shorts, “The Amazing Racist” is seen acting in a manner which is overtly and ironically racist. Shaffir filmed many of his offensive encounters for the DVD National Lampoon’s Lost Reality. They were then ripped to the internet by hundreds of different nerds and seen by millions of people. Watching the videos makes many people laugh and many people very angry. Shaffir gets death threats at least once a week and loves them all. If you haven’t seen the videos, Google him. Please don’t watch them at work because you’ll get fired.Shaffir has also been featured on the HBO show Down and Dirty with Jim Norton, TBS’ show Minding the Store, ESPN Classic’s Cheap Seats: Without Ron Parker, Latino Laugh Festival on Si TV, has made a few appearances on The Opie and Anthony Show, including the greatest day of radio of all time, Babybird, and you probably have seen him on one of the dozens of national commercials he has whored himself in over the years.Shaffir’s first love is stand up though, and he is a regular at all the major clubs in Los Angeles. For the last few years, he has been touring nationally with Joe Rogan. Shaffir tends to describe his comedy as a puppet show, but way filthier and without the puppets. Shaffir wrote this biography, so every time it says “Shaffir did this,” or “Shaffir did that,” it’s really Shaffir writing it about himself. Shaffir feels like a tool for having done that.Please don’t come to the show if you’re easily offended, or if you don’t like hearing Jews tell awful stories about sexual misconduct, or if you hate fun. Everyone else, please do come."
