"comedian","show","year"
"Chris Rock","Total Blackout - The Tamborine Extended Cut (2018)",2018
"Bo Burnham","Words, Words, Words (2010)",2010
"Vir Das","Outside In - The Lockdown Special (2020)",2020
"Larry the Cable Guy","Remain Seated (2020)",2020
"Craig Ferguson","Just Being Honest (2015)",2015
"Kevin Hart","Zero F**Ks Given (2020)",2020
"Sam Morril","I Got This (2020)",2020
"Dave Chappelle","SNL Monologue (2020)",2020
"Chris Rock","SNL Monologue (2020)",2020
"Bill Burr","SNL Monologue (2020)",2020
"John Mulaney","SNL Monologue (2020)",2020
"Ronny Chieng","Asian Comedian Destroys America (2019)",2019
"Craig Ferguson","A Wee Bit O' Revolution (2009)",2009
"Michael McIntyre","Showman (2020)",2020
"Rob Schneider","Asian Momma, Mexican Kids (2020)",2020
"Sam Jay","3 In The Morning (2020)",2020
"Jack Whitehall","I'm Only Joking (2020)",2020
"Urzila Carlson","Overqualified Loser (2020)",2020
"George Lopez","We'll Do It For Half (2020)",2020
"Jim Jefferies","Intolerant (2020)",2020
"Bill Hicks","The Censored Seven Minutes On Late Show With David Letterman (1993)",1993
"George Carlin","Doin' It Again (1990)",1990
"Eric Andre","Legalize Everything (2020)",2020
"Roy Wood Jr.","Father Figure (2017)",2017
"Dave Chappelle","HBO Comedy Half-Hour (1998)",1998
"Mark Normand","Don't Be Yourself (2017)",2017
"Doug Stanhope","Fear Of An Empty Bed(2016)",2016
"Chris Gethard","Career Suicide (2017)",2017
"Ramy Youssef","Feelings (2019)",2019
"Kenny Sebastian","Don't Be That Guy (2017)",2017
"Billy Connolly","High Horse Tour Live (2016)",2016
"Hannah Gadsby","Douglas (2020)",2020
"Patton Oswalt","I Love Everything (2020)",2020
"Russell Peters","Deported (2020)",2020
"Jimmy O. Yang","Good Deal (2020)",2020
"Jo Koy","Lights Out (2012)",2012
"Lee Mack","Going Out Live (2010)",2010
"Lee Mack","Live (2007)",2007
"T.J. Miller","No Real Reason (2011)",2011
"Jerry Seinfeld","23 Hours To Kill (2020)",2020
"Bill Burr","Late Show With David Letterman (2010)",2010
"Louis C.K.","Sincerely (2020)",2020
"Jim Norton","American Degenerate (2013)",2013
"Jim Norton","Monster Rain (2007)",2007
"Daniel Sloss","X (2019)",2019
"Maria Bamford","Weakness Is The Brand (2020)",2020
"Dave Allen","First Day At Catholic School (1993)",1993
"Chris D'Elia","White Male. Black Comic. (2013)",2013
"Chris D'Elia","Man On Fire (2017)",2017
"George Carlin","The Indian Drill Sergeant (1966)",1966
"Tom Segura","Ball Hog (2020)",2020
"Bert Kreischer","Hey Big Boy (2020)",2020
"Bert Kreischer","Fighting A Bear (2015)",2015
"Marc Maron","End Times Fun (2020)",2020
"Pete Davidson","SMD (2016)",2016
"Pete Davidson","Alive From New York (2020)",2020
"Amanda Seales","I Be Knowin' (2019)",2019
"Stewart Lee","Carpet Remnant World (2012)",2012
"Stewart Lee","Content Provider (2018)",2018
"Sara Pascoe","Ladsladslads (2019)",2019
"Dan Soder","Son Of A Gary (2019)",2019
"Jim Gaffigan","Quality Time (2019)",2019
"Dave Chappelle","Acceptance Speech - 2019 Mark Twain Prize",2019
"Ricky Gervais","2020 Golden Globes Opening Monologue",2020
"Kevin Bridges","A Whole Different Story (2015)",2015
"Kevin Bridges","The Story So Far... Live In Glasgow (2010)",2010
"Kevin Bridges","The Story Continues (2012)",2012
"Andy Woodhull","You'll Always Be Late (2019)",2019
"Michelle Wolf","Joke Show (2019)",2019
"Tiffany Haddish","Black Mitzvah (2019)",2019
"Mike Birbiglia","The New One (2019)",2019
"Iliza Shlesinger","Unveiled (2019)",2019
"Seth Meyers","Lobby Baby (2019)",2019
"Arsenio Hall","Smart And Classy (2019)",2019
"Sebastian Maniscalco","Tonight Show Starring Jimmy Fallon (2019)",2019
"Nikki Glaser","Bangin' (2019)",2019
"Ryan Hamilton","Tonight Show Starring Jimmy Fallon (2019)",2019
"Mark Normand","Tonight Show Starring Jimmy Fallon (2019)",2019
"George Carlin","Dumb Americans (2006)",2006
"Bill Burr","Paper Tiger (2019)",2019
"Dave Chappelle","Sticks & Stones - Epilogue: The Punchline (2019",2019
"Dave Chappelle","Sticks & Stones (2019)",2019
"Emily Heller","Ice Thickeners (2019)",2019
"David Cross","Oh Come On (2019)",2019
"Whitney Cummings","Can I Touch It? (2019)",2019
"Eddie Griffin","The Black Man's Bible (1994)",1994
"Tom Segura","Overdoses (2013)",2013
"Aziz Ansari","Right Now (2019)",2019
"Ralphie May","Filthy Animal Tour (2014)",2014
"Mike Epps","Only One Mike (2019)",2019
"Adam Devine","Best Time Of Our Lives (2019)",2019
"Jo Koy","Live From Seattle (2017)",2017
"Jo Koy","Comin' In Hot (2019)",2019
"Gina Yashere","The Standups (2018)",2018
"Wanda Sykes","Not Normal (2019)",2019
"Cedric the Entertainer","Live From The Ville (2016)",2016
"Eddie Murphy","Raw (1987)",1987
"Colin Quinn","The New York Story (2016)",2016
"Demetri Martin","Live (At The Time) (2015)",2015
"George Carlin","What Am I Doing In New Jersey? (1988)",1988
"Chelsea Peretti","One Of The Greats (2014)",2014
"Anthony Jeselnik","Fire In The Maternity Ward (2019)",2019
"Roy Wood Jr.","No One Loves You (2019)",2019
"Robin Williams","Weapons Of Self Destruction (2009)",2009
"Robin Williams","Live On Broadway (2002)",2002
"Jimmy Carr","The Best Of Ultimate Gold Greatest Hits (2019)",2019
"Nate Bargatze","The Tennessee Kid (2019)",2019
"W. Kamau Bell","Private School Negro (2018)",2018
"Kevin Hart","Irresponsible (2019)",2019
"Nate Bargatze","Full Time Magic (2015)",2015
"Amy Schumer","Growing (2019)",2019
"Ricky Gervais","2011 Golden Globes Opening Monologue",2011
"Ricky Gervais","2016 Golden Globes Opening Monologue",2016
"Enissa Amani","Ehrenwort (2018)",2018
"Ken Jeong","You Complete Me, Ho (2019)",2019
"Ray Romano","Right Here, Around The Corner (2019)",2019
"Gabriel Iglesias","One Show Fits All (2019)",2019
